ilce_adi;mahalle_adi;meshur_urunler
Yunak;KILLAR;SÜT
Yunak;KUYUBAŞI;SÜT
Yunak;ODABAŞI;SÜT
Yunak;ORTAKIŞLA;SÜT
Yunak;YEŞİLYAYLA;SÜT
Yunak;KARGALI;SÜT, CANLI HAYVAN
Yunak;HURSUNLU;SÜT, PEYNİR
Yunak;SEVİNÇ;SÜT, PEYNİR
Yunak;BEŞIŞIKLI;SÜT, YAĞ, KAYMAK, PEYNİR, YUMURTA
Yunak;YEŞİLOBA;SÜT, YAĞ, PEYNİR
Yunak;PİRİBEYLİ;SÜT, YOĞURT
Yunak;CEBRAİL;SÜT, YOĞURT
Yunak;KOÇYAZI;SÜT, YOĞURT, PEYNİR
Yunak;KURTUŞAĞI;SÜT, YOĞURT, PEYNİR
Yunak;ÖZYAYLA;SÜT, YOĞURT, PEYNİR
Yunak;SERTLER;SÜT, YOĞURT, PEYNİR
Yunak;KUZÖREN;SÜT, YOĞURT, YUMURTA
Yunak;SIRAM;YOĞURT, PEYNİR
;;
